lokasi,komoditas,tanggal,suhu_c,curah_hujan_mm,ph_tanah,produksi_kg,permintaan_kg,harga_per_kg,distribusi_jam,gap
Semarang,Cabai,2026-01-05,29.6,13.4,6.68,1148,1022,34490,5,126
Malang,Padi,2026-02-11,30.8,3.8,6.51,4647,5178,13731,4,-531
Malang,Padi,2026-04-26,29.6,4.1,6.15,5320,4934,15791,7,386
Semarang,Cabai,2026-04-01,27.4,0.0,6.18,873,1577,34690,7,-704
Semarang,Padi,2026-03-02,30.1,8.7,6.28,5228,4780,6841,4,448
Semarang,Cabai,2026-02-07,31.7,3.6,6.51,1116,893,33677,4,223
Malang,Padi,2026-04-11,29.03973063973064,0.0,6.36,4709,5574,16921,6,-865
Semarang,Padi,2026-04-06,28.7,2.0,6.44,4778,5185,13953,7,-407
Semarang,Padi,2026-02-19,27.4,0.0,6.44,4501,5691,16964,7,-1190
Malang,Cabai,2026-02-15,32.4,0.0,6.53,1311,876,30485,5,435
Malang,Padi,2026-04-06,27.8,12.2,6.55,5369,5087,11621,4,282
Malang,Cabai,2026-04-12,29.3,9.0,6.68,1243,459,29805,4,784
Semarang,Cabai,2026-02-20,27.3,1.6,6.57,1148,999,33402,5,149
Semarang,Cabai,2026-02-19,29.3,10.8,6.71,1049,591,32171,6,458
Malang,Cabai,2026-04-11,32.0,9.4,6.5,897,307,34938,6,590
Malang,Cabai,2026-04-08,29.4,0.0,6.4,1400,1392,35621,4,8
Malang,Padi,2026-01-10,29.0,9.0,6.44,4500,4997,17291,4,-497
Semarang,Cabai,2026-02-12,28.8,4.6,6.28,1146,1298,35178,6,-152
Malang,Cabai,2026-02-01,28.1,2.6,6.34,832,426,32586,5,406
Malang,Padi,2026-03-31,28.8,5.2,6.6,5361,5340,12654,4,21
Malang,Cabai,2026-02-21,27.9,0.0,6.97,906,749,29830,4,157
Semarang,Padi,2026-02-28,30.7,0.1,6.51,5290,4611,10763,5,679
Semarang,Cabai,2026-04-25,27.4,0.5,6.46,985,575,31641,5,410
Semarang,Padi,2026-01-25,29.4,9.6,6.71,5196,4650,11263,6,546
Semarang,Padi,2026-04-21,28.1,12.9,6.42,4799,5558,15175,5,-759
Malang,Padi,2026-02-28,29.1,5.6,6.43,4928,4816,12188,7,112
Semarang,Cabai,2026-03-03,27.3,2.3,6.0,1205,1156,34585,7,49
Malang,Padi,2026-04-28,27.6,2.3,6.61,5062,5817,21014,6,-755
Malang,Padi,2026-01-05,27.9,0.0,6.56,4177,4816,16581,5,-639
Semarang,Padi,2026-02-07,26.7,6.3,7.06,4516,4940,15305,5,-424
Malang,Cabai,2026-01-10,29.03973063973064,8.8,6.72,1231,710,37262,6,521
Malang,Padi,2026-04-05,29.3,5.4,6.6,5474,4952,11617,4,522
Malang,Padi,2026-03-01,28.4,3.4,6.61,5310,4116,8751,4,1194
Semarang,Cabai,2026-01-18,28.5,11.5,6.36,330,1420,38762,6,-1090
Malang,Cabai,2026-01-17,28.5,9.1,6.68,1028,646,33663,5,382
Malang,Cabai,2026-02-20,27.3,3.0,6.6,1374,1386,35224,7,-12
Malang,Padi,2026-02-26,26.8,0.9,6.8,5120,4860,14358,5,260
Malang,Cabai,2026-02-16,31.6,2.8,6.41,834,1385,39702,6,-551
Malang,Cabai,2026-02-05,25.7,6.4,6.29,846,1068,37781,7,-222
Malang,Cabai,2026-03-31,29.4,18.2,6.46,1014,1712,39670,7,-698
Malang,Padi,2026-04-16,29.03973063973064,11.5,6.37,4851,5167,14801,4,-316
Malang,Padi,2026-02-24,30.1,0.0,6.78,4792,5246,15009,5,-454
Malang,Cabai,2026-03-04,31.1,3.8,6.49,1242,1336,35393,7,-94
Malang,Cabai,2026-04-18,28.6,6.6,6.26,1083,712,34956,5,371
Semarang,Padi,2026-03-26,29.9,5.1,6.96,4511,5043,18919,7,-532
Malang,Cabai,2026-01-01,27.3,0.0,6.77,901,820,30346,4,81
Malang,Cabai,2026-01-30,29.6,10.8,6.71,699,1971,45259,4,-1272
Semarang,Padi,2026-02-07,28.3,6.2,6.39,4933,4668,14518,6,265
Semarang,Padi,2026-04-07,30.9,11.4,6.64,4661,4790,15623,4,-129
Semarang,Cabai,2026-01-08,28.5,3.1,6.64,1133,855,35928,4,278
Semarang,Cabai,2026-01-14,30.2,3.5,6.57,624,1369,38355,6,-745
Malang,Padi,2026-01-11,27.6,0.0,6.19,5181,4487,14039,5,694
Malang,Padi,2026-02-22,29.4,4.5,6.39,5119,4984,15531,5,135
Malang,Padi,2026-04-06,28.3,4.7,6.56,4486,4460,15356,5,26
Semarang,Cabai,2026-04-20,29.03973063973064,6.7,6.39,766,1078,34603,5,-312
Semarang,Cabai,2026-02-06,31.1,7.4,6.55,1294,1666,38888,6,-372
Semarang,Cabai,2026-01-17,25.3,0.0,6.38,1007,1207,34548,6,-200
Malang,Padi,2026-04-25,27.8,0.0,6.32,4594,4609,16182,6,-15
Semarang,Padi,2026-02-24,30.0,5.9,6.33,5210,4769,12039,5,441
Malang,Cabai,2026-04-17,31.3,1.5,6.49,1531,749,34714,6,782
Malang,Cabai,2026-04-24,30.3,9.9,6.62,528,709,35409,6,-181
Malang,Cabai,2026-01-17,28.9,8.1,6.54,599,1152,38986,4,-553
Malang,Cabai,2026-04-11,30.7,7.3,6.49,501,1171,38765,6,-670
Semarang,Cabai,2026-03-27,26.8,10.3,6.49,1204,1011,34094,5,193
Malang,Padi,2026-04-13,29.2,2.7,6.41,4907,5088,13947,7,-181
Semarang,Cabai,2026-03-28,28.6,2.8,6.79,1058,1412,33798,7,-354
Malang,Padi,2026-04-18,29.2,10.3,6.4,5422,5919,15759,7,-497
Semarang,Cabai,2026-01-10,28.5,1.7,6.5,1050,996,34460,7,54
Semarang,Padi,2026-03-09,30.3,13.1,6.59,4925,4618,11914,6,307
Semarang,Cabai,2026-03-02,30.1,0.0,6.67,1062,940,33071,4,122
Malang,Padi,2026-04-27,28.7,2.5,6.59,5152,4500,11882,4,652
Malang,Padi,2026-04-23,28.3,0.0,6.66,5314,5137,12361,5,177
Malang,Padi,2026-04-21,28.7,10.6,6.2,4785,4758,13803,5,27
Semarang,Padi,2026-01-09,30.0,4.0,6.32,5292,4905,12269,5,387
Semarang,Cabai,2026-03-01,29.1,4.7,6.53,1258,1217,38828,4,41
Malang,Cabai,2026-01-06,31.2,5.3,6.37,857,814,32884,4,43
Malang,Cabai,2026-02-11,29.6,1.9,6.54,952,983,36267,6,-31
Malang,Padi,2026-01-10,27.9,8.2,6.81,5102,4687,10694,4,415
Semarang,Cabai,2026-04-23,27.0,5.8,6.46,1056,1474,36617,7,-418
Semarang,Cabai,2026-04-04,30.5,8.4,6.6,812,1300,39393,5,-488
Malang,Padi,2026-03-31,33.0,1.3,6.16,5414,5454,13286,6,-40
Semarang,Cabai,2026-01-26,28.8,0.0,6.52,1349,782,33919,7,567
Semarang,Cabai,2026-03-19,28.0,3.2,6.13,829,1465,36321,5,-636
Malang,Cabai,2026-03-05,29.8,8.4,6.27,1769,513,29028,4,1256
Malang,Cabai,2026-02-22,28.7,0.0,6.43,1006,740,35544,7,266
Semarang,Padi,2026-01-03,28.7,0.0,6.21,5181,4405,10752,7,776
Malang,Padi,2026-04-28,30.8,0.0,6.56,4987,4952,11469,5,35
Semarang,Padi,2026-04-20,31.4,8.7,6.69,5253,4870,12180,5,383
Semarang,Padi,2026-01-20,31.4,1.7,6.7,5027,4445,8875,5,582
Malang,Padi,2026-02-15,30.8,7.8,6.52,4917,5084,16595,4,-167
Malang,Cabai,2026-02-01,29.7,4.1,6.53,1156,1207,37870,6,-51
Malang,Cabai,2026-03-25,33.3,10.9,6.48,1449,1674,35204,7,-225
Malang,Padi,2026-01-13,33.7,2.9,6.43,4392,5228,18930,4,-836
Malang,Padi,2026-02-20,26.4,11.0,6.4,5928,4929,7485,4,999
Malang,Padi,2026-03-04,29.03973063973064,2.9,6.73,4917,5553,18694,5,-636
Semarang,Padi,2026-01-24,30.9,19.7,6.42,5022,5627,13937,6,-605
Semarang,Padi,2026-01-06,27.2,0.0,6.37,4314,4804,17695,5,-490
Semarang,Padi,2026-04-22,32.3,11.4,6.55,4302,4718,15795,4,-416
Semarang,Padi,2026-03-01,32.2,0.0,6.86,5265,5107,11782,4,158
Malang,Padi,2026-03-07,32.4,12.7,6.22,4834,5173,15095,5,-339
Semarang,Padi,2026-03-15,32.9,4.7,6.47,4656,5235,17125,4,-579
Semarang,Padi,2026-03-25,31.8,0.0,6.6,4353,5282,20585,7,-929
Semarang,Cabai,2026-03-20,32.2,16.5,6.44,864,1059,35019,6,-195
Semarang,Cabai,2026-04-27,32.4,8.9,6.4,263,382,36601,6,-119
Semarang,Cabai,2026-02-13,26.9,5.5,6.51,1036,842,33175,6,194
Semarang,Cabai,2026-04-06,30.6,0.0,6.49,1058,1073,35408,4,-15
Semarang,Cabai,2026-03-13,30.2,5.7,6.6,1297,259,31696,5,1038
Semarang,Padi,2026-03-11,30.6,3.0,6.45,4847,5120,13794,5,-273
Semarang,Padi,2026-04-12,30.8,4.3,6.43,5225,4872,14131,5,353
Semarang,Cabai,2026-03-30,31.2,0.0,6.73,1608,1349,29391,4,259
Malang,Padi,2026-04-23,28.4,4.8,6.26,5093,5507,17465,4,-414
Malang,Cabai,2026-01-26,25.7,5.9,6.02,840,1649,39695,7,-809
Malang,Cabai,2026-04-19,28.5,4.7,6.53,1114,513,31030,4,601
Semarang,Cabai,2026-02-03,29.8,0.0,6.91,1083,1023,36239,7,60
Semarang,Padi,2026-02-05,27.6,12.8,6.29,5018,5131,15354,6,-113
Malang,Cabai,2026-02-25,27.9,7.6,6.47,1238,1190,30206,6,48
Malang,Cabai,2026-04-29,29.5,16.3,6.5,1126,576,33205,4,550
Malang,Padi,2026-03-13,29.6,12.5,6.33,4682,5277,17890,6,-595
Semarang,Cabai,2026-01-18,27.9,7.2,6.27,924,1201,35663,4,-277
Malang,Cabai,2026-03-22,27.9,0.3,6.36,807,469,34815,4,338
Malang,Cabai,2026-01-25,27.4,13.2,6.84,833,1227,40226,6,-394
Malang,Padi,2026-02-05,27.8,0.0,6.37,4632,5013,14365,5,-381
Semarang,Cabai,2026-02-13,29.5,0.0,6.57,1250,202,30508,6,1048
Semarang,Padi,2026-01-02,32.3,7.1,6.36,4983,5223,15352,4,-240
Semarang,Padi,2026-01-03,26.8,3.4,6.74,5042,5927,19211,5,-885
Semarang,Cabai,2026-02-01,29.3,4.2,6.64,1287,685,29327,4,602
Semarang,Cabai,2026-03-14,31.6,5.2,6.54,971,1146,38679,7,-175
Malang,Padi,2026-04-16,24.0,5.1,6.94,5204,5149,17728,5,55
Semarang,Cabai,2026-03-21,30.2,2.4,6.41,836,1034,37083,5,-198
Malang,Cabai,2026-04-27,28.9,0.0,6.18,1010,1096,33490,6,-86
Semarang,Padi,2026-01-18,30.5,2.7,6.17,5376,5457,10373,5,-81
Semarang,Cabai,2026-01-02,32.3,4.5,6.2,1264,507,30694,4,757
Malang,Padi,2026-03-03,27.5,2.2,6.69,5456,4490,10422,4,966
Malang,Padi,2026-02-21,30.0,0.0,6.59,5219,4826,14689,7,393
Malang,Cabai,2026-01-07,25.1,18.5,6.42,651,906,34182,5,-255
Malang,Cabai,2026-01-10,27.0,7.9,6.19,1309,1166,36437,4,143
Semarang,Cabai,2026-02-14,28.8,2.8,6.66,607,302,33465,4,305
Semarang,Padi,2026-03-09,28.2,7.8,6.72,5159,5404,15867,5,-245
Malang,Padi,2026-01-13,29.9,5.8,6.57,4949,5323,14449,7,-374
Malang,Cabai,2026-02-03,27.1,0.0,6.57,922,1404,37148,4,-482
Semarang,Padi,2026-03-06,27.8,4.6,6.72,5172,4026,8641,6,1146
Semarang,Padi,2026-01-11,27.8,11.0,6.75,4339,4680,15415,7,-341
Semarang,Cabai,2026-04-05,27.6,8.5,6.46,964,989,36273,6,-25
Semarang,Padi,2026-01-21,28.9,0.0,6.49,4695,5016,17263,7,-321
Semarang,Padi,2026-01-11,27.3,6.0,6.67,4361,4554,14227,7,-193
Semarang,Padi,2026-03-26,28.9,15.2,6.26,5340,4860,12698,6,480
Semarang,Cabai,2026-01-13,29.7,13.0,6.72,760,1117,33350,4,-357
Semarang,Padi,2026-01-29,27.8,6.4,6.5,5160,4830,10469,5,330
Malang,Cabai,2026-03-02,30.3,12.2,6.53,743,928,37960,7,-185
Semarang,Padi,2026-01-16,30.2,8.8,6.43,5183,5098,13180,5,85
Malang,Cabai,2026-01-10,30.5,7.9,6.81,1283,1274,30528,7,9
Semarang,Padi,2026-03-31,29.6,6.6,6.65,5336,5253,14535,5,83
Semarang,Cabai,2026-04-11,28.4,0.3,6.74,1185,816,32439,5,369
Malang,Padi,2026-04-14,28.2,2.9,6.21,4501,5011,18700,6,-510
Semarang,Cabai,2026-03-21,30.5,0.0,6.5,800,1642,42334,7,-842
Semarang,Cabai,2026-02-18,27.0,6.9,6.71,1254,1032,36503,4,222
Semarang,Padi,2026-02-24,27.2,8.9,6.38,4948,5247,16891,4,-299
Semarang,Padi,2026-02-14,29.9,0.0,6.23,4995,5340,17476,5,-345
Semarang,Cabai,2026-04-26,26.2,0.0,6.39,1231,241,30390,4,990
Malang,Padi,2026-02-04,31.1,4.0,6.43,5120,4923,15795,4,197
Semarang,Padi,2026-03-31,29.4,3.1,5.93,4951,5360,17601,5,-409
Semarang,Padi,2026-04-18,29.8,2.1,6.57,5036,4609,10080,6,427
Malang,Padi,2026-01-14,27.3,0.4,6.44,5470,4789,10566,7,681
Semarang,Padi,2026-04-17,29.2,0.0,6.15,4692,5098,16204,6,-406
Semarang,Cabai,2026-01-21,28.8,2.0,6.68,724,555,35289,7,169
Malang,Cabai,2026-04-25,29.2,6.7,6.34,905,829,33536,5,76
Malang,Cabai,2026-03-27,31.0,18.3,6.44,1045,1151,39153,5,-106
Semarang,Padi,2026-04-08,26.5,4.7,6.41,5603,5707,12451,5,-104
Semarang,Padi,2026-04-21,31.8,5.3,6.37,4982,4748,14034,6,234
Malang,Padi,2026-01-26,31.3,1.2,6.21,5028,4855,14157,4,173
Semarang,Padi,2026-01-28,28.9,1.3,6.52,5264,4610,10719,7,654
Malang,Cabai,2026-02-19,28.7,0.6,6.39,846,896,33791,4,-50
Semarang,Cabai,2026-03-26,31.1,4.7,5.95,1319,508,31370,7,811
Malang,Cabai,2026-01-03,34.1,5.9,6.48,903,1312,38180,4,-409
Semarang,Padi,2026-03-11,29.7,2.3,6.29,4987,4630,14562,7,357
Semarang,Padi,2026-04-05,27.3,6.8,6.38,5083,4790,10020,6,293
Malang,Padi,2026-04-03,30.0,3.8,6.56,4871,4468,14151,7,403
Semarang,Padi,2026-01-03,29.1,10.2,6.41,4909,5097,14021,6,-188
Semarang,Padi,2026-02-10,27.4,8.0,6.5,5604,5632,15166,7,-28
Malang,Padi,2026-01-15,28.0,4.7,6.32,5151,5347,14223,6,-196
Semarang,Cabai,2026-03-04,29.03973063973064,2.4,6.46,1090,1112,36603,5,-22
Malang,Cabai,2026-01-23,28.2,0.0,6.24,826,619,33357,6,207
Semarang,Cabai,2026-03-19,28.2,4.9,6.42,979,1216,37954,7,-237
Semarang,Cabai,2026-03-12,31.0,15.3,6.61,1670,689,34277,7,981
Semarang,Cabai,2026-03-02,28.8,3.9,6.52,825,1331,36424,4,-506
Malang,Cabai,2026-02-28,30.3,12.6,6.43,1238,1223,39430,5,15
Malang,Padi,2026-01-30,25.7,2.5,6.57,5417,4509,11032,4,908
Malang,Padi,2026-02-02,29.4,13.5,6.28,4967,4605,11252,5,362
Semarang,Cabai,2026-02-20,31.9,3.6,6.78,1332,854,31604,7,478
Malang,Cabai,2026-03-27,27.2,0.3,6.57,994,750,30682,5,244
Malang,Padi,2026-01-17,29.2,2.7,6.46,5091,3999,5473,4,1092
Malang,Cabai,2026-02-09,24.0,0.0,7.0,789,1463,38612,4,-674
Semarang,Padi,2026-02-12,28.0,8.9,6.02,4567,4803,12494,5,-236
Semarang,Cabai,2026-01-09,27.8,9.3,6.53,1399,1078,35379,6,321
Malang,Padi,2026-01-11,28.9,2.0,6.8,4787,5137,17287,4,-350
Malang,Padi,2026-03-23,29.4,0.9,6.68,5034,4330,8687,4,704
Malang,Padi,2026-03-04,31.7,11.6,6.55,5274,4543,10358,4,731
Malang,Cabai,2026-01-28,29.9,0.0,6.54,1505,1223,35425,7,282
Malang,Cabai,2026-03-06,28.6,1.2,6.47,554,1419,38654,7,-865
Malang,Cabai,2026-04-29,31.2,5.7,6.22,1139,628,28132,7,511
Malang,Cabai,2026-03-04,28.8,3.3,6.78,1926,1179,29205,4,747
Semarang,Cabai,2026-03-06,29.03973063973064,7.2,6.03,1100,1174,38022,4,-74
Semarang,Padi,2026-03-10,31.4,5.6,6.8,5610,5011,11841,4,599
Semarang,Padi,2026-01-27,25.5,0.0,6.33,4866,4561,12403,5,305
Malang,Cabai,2026-02-11,28.1,0.0,6.53,995,655,33489,6,340
Malang,Padi,2026-04-26,29.03973063973064,0.0,6.4,4797,4826,16184,5,-29
Semarang,Cabai,2026-02-20,29.1,0.0,6.28,1223,1068,36745,4,155
Semarang,Cabai,2026-01-24,28.0,7.8,6.64,1256,580,29217,7,676
Semarang,Cabai,2026-02-06,27.6,7.3,6.59,1228,1665,40308,5,-437
Malang,Cabai,2026-01-12,27.6,5.4,6.43,1590,1007,33392,7,583
Semarang,Padi,2026-04-06,25.2,4.6,7.15,4626,4274,16112,6,352
Malang,Padi,2026-04-25,31.1,6.1,6.49,5085,5208,15905,7,-123
Malang,Cabai,2026-02-04,28.6,4.2,6.46,1340,1237,28604,5,103
Malang,Cabai,2026-04-29,29.0,3.1,6.72,1284,690,32844,5,594
Malang,Padi,2026-03-17,27.7,9.3,6.69,5153,5290,15717,4,-137
Malang,Cabai,2026-01-13,30.6,8.8,6.74,1212,1140,36780,7,72
Malang,Cabai,2026-02-03,29.03973063973064,1.3,6.36,956,683,33019,7,273
Malang,Cabai,2026-04-06,25.2,6.1,6.5,754,1263,39420,7,-509
Semarang,Padi,2026-03-31,25.8,1.2,6.35,4718,5331,16677,4,-613
Malang,Cabai,2026-02-08,30.3,0.0,6.51,1083,1544,34687,5,-461
Malang,Cabai,2026-02-24,23.0,5.9,6.5,1371,1083,32576,5,288
Semarang,Padi,2026-04-20,30.0,4.7,6.71,5827,5156,9627,5,671
Semarang,Cabai,2026-01-31,27.6,3.0,6.4,1045,671,35372,6,374
Malang,Padi,2026-04-03,28.3,5.8,6.67,4739,4736,13377,4,3
Malang,Cabai,2026-01-09,28.0,9.4,6.55,1058,1340,36135,7,-282
Semarang,Padi,2026-02-20,29.5,2.1,6.01,4959,5569,18902,5,-610
Malang,Cabai,2026-03-26,30.9,11.2,6.52,1059,752,32832,6,307
Malang,Padi,2026-02-06,28.7,2.7,6.5,5180,4422,5617,5,758
Semarang,Padi,2026-04-09,28.0,4.3,6.41,5435,5130,13075,7,305
Malang,Cabai,2026-02-07,31.1,4.6,6.63,678,378,35135,7,300
Semarang,Cabai,2026-02-05,27.3,10.6,6.26,1492,639,32011,7,853
Malang,Padi,2026-04-17,27.9,4.2,6.51,4699,5296,15958,5,-597
Malang,Cabai,2026-04-12,28.5,0.0,5.99,942,1965,41684,7,-1023
Malang,Cabai,2026-01-25,29.0,7.7,6.26,1334,1286,36196,7,48
Semarang,Padi,2026-03-17,30.3,8.0,6.43,4827,5040,18163,7,-213
Malang,Padi,2026-01-12,29.3,5.3,6.53,5073,4910,16164,5,163
Malang,Padi,2026-04-14,28.8,0.0,6.46,5498,5008,12011,6,490
Semarang,Padi,2026-01-22,26.5,1.9,6.42,4904,5512,18155,4,-608
Malang,Cabai,2026-03-18,30.0,10.7,6.82,695,675,32384,7,20
Semarang,Padi,2026-02-23,31.0,4.6,6.44,5045,4665,16279,5,380
Malang,Padi,2026-02-07,25.8,4.7,6.9,5002,4923,12890,5,79
Semarang,Padi,2026-03-19,24.6,12.7,6.22,4920,4828,14717,5,92
Malang,Padi,2026-03-09,25.8,7.3,6.9,4591,5075,15096,5,-484
Semarang,Padi,2026-04-18,29.9,5.1,6.37,5146,5721,16493,6,-575
Semarang,Cabai,2026-02-12,27.1,7.4,6.8,1106,874,33838,5,232
Semarang,Cabai,2026-04-02,26.5,4.7,6.68,864,811,35266,4,53
Malang,Cabai,2026-04-03,33.2,3.8,6.43,805,1297,37097,6,-492
Malang,Padi,2026-03-30,27.7,11.6,6.78,4819,4253,13185,5,566
Malang,Padi,2026-04-03,25.1,9.5,6.26,5219,5005,11022,6,214
Malang,Cabai,2026-01-05,28.2,8.4,6.52,1175,1790,34946,6,-615
Semarang,Padi,2026-04-25,27.2,0.0,6.46,5276,4948,15382,6,328
Semarang,Padi,2026-04-19,26.5,6.8,6.68,4873,3958,9822,7,915
Malang,Padi,2026-03-04,31.5,0.0,6.64,5357,4288,9294,6,1069
Malang,Cabai,2026-04-05,29.7,2.6,6.36,1010,565,30603,6,445
Semarang,Cabai,2026-03-27,30.4,0.0,6.63,1138,309,29499,5,829
Malang,Cabai,2026-04-22,28.1,7.3,6.66,924,760,37024,4,164
Semarang,Cabai,2026-01-16,29.2,1.0,6.33,1156,1167,37858,6,-11
Semarang,Padi,2026-03-27,30.3,0.0,6.71,4700,4846,15230,4,-146
Malang,Cabai,2026-02-20,30.2,4.1,6.61,1266,871,36615,4,395
Malang,Cabai,2026-02-08,28.2,9.7,6.43,862,623,34713,4,239
Malang,Cabai,2026-03-17,27.6,14.4,6.12,1147,1516,30071,7,-369
Semarang,Padi,2026-01-18,29.5,3.4,6.72,5108,5052,11922,4,56
Semarang,Cabai,2026-02-12,26.8,0.0,6.58,1242,740,34034,7,502
Malang,Cabai,2026-04-24,29.1,1.8,6.5,669,1499,36119,4,-830
Malang,Cabai,2026-01-28,27.6,4.2,6.36,1279,1725,35915,4,-446
Malang,Padi,2026-04-04,30.1,4.2,6.78,5343,4525,10951,6,818
Semarang,Padi,2026-04-03,28.4,2.4,6.4,4499,4468,13999,5,31
Semarang,Cabai,2026-01-28,32.0,1.9,6.37,1510,556,26907,6,954
Malang,Padi,2026-04-08,25.5,4.4,6.69,4614,5035,16896,6,-421
Malang,Cabai,2026-04-21,28.8,5.9,6.54,756,1599,41710,5,-843
Malang,Padi,2026-01-22,31.4,10.1,6.19,5277,5262,10851,4,15
Semarang,Cabai,2026-03-24,28.6,6.4,6.83,1217,654,35575,4,563
Malang,Padi,2026-01-07,28.3,0.0,6.48,5149,4845,13320,7,304
Semarang,Padi,2026-02-07,27.3,4.3,6.56,5056,4357,9626,4,699
Malang,Cabai,2026-01-27,29.0,4.6,6.81,1387,1323,32733,7,64
Malang,Cabai,2026-04-27,29.7,7.8,6.36,738,1682,39118,5,-944
Malang,Cabai,2026-01-16,29.8,7.3,6.22,1062,1566,38882,7,-504
Malang,Padi,2026-01-08,28.6,1.9,6.53,5229,4312,9984,7,917
Malang,Padi,2026-02-06,31.2,8.2,6.93,4774,5332,14755,5,-558
Semarang,Padi,2026-04-24,30.1,5.9,6.4,4467,4723,15288,5,-256
Semarang,Padi,2026-04-02,29.5,3.1,6.85,4694,4720,13145,7,-26
Malang,Cabai,2026-04-23,29.03973063973064,0.0,6.53,1049,722,34024,4,327
Malang,Padi,2026-01-12,29.2,0.0,6.07,5159,5419,14366,4,-260
Malang,Cabai,2026-02-15,26.7,0.0,6.64,1002,1425,32834,6,-423
Malang,Padi,2026-02-10,29.8,9.2,6.53,5049,4844,16156,5,205
Malang,Cabai,2026-04-21,27.0,7.7,6.29,1223,1044,37594,5,179
Semarang,Cabai,2026-01-30,28.4,7.1,6.34,913,1042,32590,7,-129
Malang,Padi,2026-02-08,28.7,2.0,6.35,4790,5045,16165,4,-255
Malang,Cabai,2026-02-02,31.7,0.0,6.5,1316,1000,30825,6,316
